msno,song_id,source_system_tab,source_screen_name,source_type,song_length,composer,lyricist,language,song_year,city,bd,gender,registered_via,registration_year,expiration_year,is_featured,artist_composer,artist_lyricist,artist_composer_lyricist,genre_id_1_count,genre_id_2_count,genre_id_n_count,genre_id_1,genre_id_2,genre_id_n,artist_name_1_count,artist_name_2_count,artist_name_n_count,artist_name_1,artist_name_2,artist_name_n
15064,231134,4,9,4,23726,74543,29034,1,0,20,0,1,0,10,15,0,0,0,0,127,75,0,113,14,0,1620,0,0,36241,3551,0
24572,110580,6,15,8,47004,74068,32088,1,83,11,25,2,3,7,14,0,0,0,0,127,0,0,113,0,0,1625,0,0,33006,3551,0
12756,196644,4,9,4,29232,35296,28714,1,94,0,0,0,1,11,14,0,0,0,0,127,0,0,113,0,0,1377,0,0,33760,3551,0
24373,114886,4,9,4,28524,3925,1223,8,99,10,12,1,1,11,15,0,0,0,0,124,0,0,44,0,0,1608,0,0,27688,3551,0
6070,281412,4,9,4,41073,69626,27554,1,89,20,24,1,3,7,14,0,0,0,0,127,0,0,113,0,0,1613,0,0,36994,3551,0
20095,119598,4,9,5,25453,55876,3762,1,98,3,22,1,3,3,14,0,0,0,0,127,0,0,113,0,0,1617,0,0,37261,3551,0
27840,163247,1,12,7,34412,67042,24957,1,99,16,16,1,3,7,14,0,0,0,0,126,0,0,112,0,0,1623,0,0,36302,3551,0
8176,355213,7,12,7,21327,68,47,8,86,2,20,1,3,3,14,0,0,0,0,127,0,0,113,0,0,1275,0,0,17877,3551,0
16539,101401,1,12,7,37482,19108,6251,1,99,0,0,0,0,9,13,0,0,0,0,126,0,0,112,0,0,1614,0,0,9081,3551,0
26443,33666,4,9,4,18905,59286,47,8,97,0,0,0,3,9,14,0,0,0,0,124,0,0,44,0,0,1498,0,0,2505,3551,0
12700,310024,4,9,4,29703,68783,30724,1,99,4,0,0,1,12,14,0,0,0,0,126,0,0,112,0,0,1610,0,0,32883,3551,0
19461,320571,1,0,11,29304,74223,32253,1,0,0,0,0,1,12,13,0,0,0,0,127,0,0,113,0,0,325,0,0,37954,3551,0
13874,23900,4,9,4,41548,65861,23772,1,97,3,51,2,3,6,15,0,0,0,0,125,80,0,148,61,0,1060,318,0,31975,209,0
14302,62388,1,6,1,47715,75334,33346,1,99,2,35,1,2,12,14,0,0,0,0,124,79,0,44,60,0,599,0,0,36032,3551,0
6306,176363,1,12,7,26872,70897,28930,1,95,2,30,2,2,6,14,0,0,0,0,127,0,0,113,0,0,1473,0,0,35834,3551,0
13297,286747,1,0,6,20149,36330,12397,5,99,0,0,0,1,13,14,0,0,0,0,123,0,0,110,0,0,1282,0,0,23189,3551,0
15197,121047,4,0,11,33193,51043,47,8,80,11,28,2,0,9,14,0,0,0,0,127,0,0,113,0,0,459,0,0,26106,3551,0
19305,120899,4,9,4,37151,68,47,1,93,0,0,0,2,12,14,0,0,0,0,127,0,0,113,0,0,1592,0,0,37842,3551,0
26902,358199,1,4,7,16482,57881,20132,5,98,3,29,1,3,7,14,0,0,0,0,123,75,0,110,14,0,1618,0,0,2668,3551,0
20174,293444,1,12,7,41105,19319,29388,1,100,0,0,0,1,12,13,0,0,0,0,126,0,0,112,0,0,1614,0,0,9081,3551,0
